pi_dep,core_CPI_annualised_percent_change,unemployment_rate,10Y_Treasury_rate,3M_Treasury_rate,log_industrial_production,PPI_commodity
-0.2256159000000002,4.6802924,5.3,8.47,7.74,4.13028,3.2491
2.914955,7.8325142,5.2,8.59,7.9,4.13503,2.42152
0.14680219999999977,5.338327,5.4,8.79,7.77,4.13278,1.60285
-0.7300440000000004,4.5469414,5.4,8.76,7.74,4.13573,1.23675
2.1819533,7.3486857,5.2,8.48,7.73,4.13913,1.24004
1.9465541000000002,7.3172518,5.5,8.47,7.62,4.13746,1.50709
2.782222,8.298828,5.7,8.75,7.45,4.14108,4.01786
-1.3608899,4.4753809,5.9,8.89,7.36,4.14129,5.33808
-1.2603474000000006,4.6700129,5.9,8.72,7.17,4.13512,7.0922
-2.4174194000000004,3.3810868,6.2,8.39,7.06,4.12257,6.5661
-1.2106791000000001,4.4724291,6.3,8.08,6.74,4.11559,5.04425
1.9210146000000003,7.5721067,6.4,8.09,6.22,4.11225,3.56832
-0.5748666,5.2404238,6.6,7.85,5.94,4.10493,2.44755
-2.6789215,3.1834373,6.8,8.11,5.91,4.09929,1.75131
-2.4860048,2.9882798,6.7,8.04,5.65,4.10186,1.66521
-1.3675355000000002,3.9086249,6.9,8.07,5.46,4.11184,1.65794
-1.3445284000000002,3.8779175,6.9,8.28,5.57,4.11987,1.83727
-0.30134050000000023,4.6333134,6.8,8.27,5.58,4.12261,1.39738
-0.3237791999999997,4.3896312,6.9,7.9,5.33,4.12275,-0.25751
0.6903836999999999,5.0834782,6.9,7.65,5.22,4.13095,-1.94257
-1.6177748999999997,2.8258199,7.0,7.53,4.99,4.1299,-3.64238
-0.18370310000000067,4.1052889,7.0,7.42,4.56,4.12858,-3.08077
0.09019900000000014,4.4398766,7.3,7.09,4.07,4.124,-2.35889
-0.3639708000000006,3.9829969,7.3,7.03,3.8,4.11875,-2.85714
-1.1013670000000002,2.9509417,7.4,7.34,3.84,4.12583,-1.02389
0.6899278,4.5516929,7.4,7.54,4.04,4.13421,-0.08606
0.09441940000000004,4.0702637,7.4,7.48,3.75,4.14186,0.25862
-1.8232435000000002,2.2431953,7.6,7.39,3.63,4.14515,0.60086
-0.8400080999999999,3.0864024,7.8,7.26,3.66,4.14571,1.37457
-0.3195733999999999,3.5406152,7.7,6.84,3.21,4.15473,1.55039
-1.0721315000000002,2.6972362,7.6,6.59,3.13,4.14915,1.29088
-1.8884471999999999,1.7396729,7.6,6.42,2.91,4.15235,1.63652
2.9519849999999996,6.3012228,7.3,6.59,2.86,4.15916,1.46048
0.39171229999999957,4.0276269,7.4,6.87,3.13,4.16298,1.20275
-1.0036648000000001,2.6258049,7.4,6.77,3.22,4.16449,1.46678
1.1116001000000004,4.5898627,7.3,6.6,3.0,4.16842,2.07612
-0.1782569999999999,3.3501981,7.1,6.26,2.93,4.17325,2.06897
-1.7323179000000002,1.8295359,7.0,5.98,2.95,4.17227,2.23945
1.582659,4.9170871,7.1,5.97,2.87,4.17504,2.57954
0.3740941999999996,3.778332,7.1,6.04,2.96,4.17131,2.13311
-0.008293300000000059,3.5244434,7.0,5.96,3.07,4.17358,1.27119
-1.7750986,1.7942283,6.9,5.81,3.04,4.17614,1.10263
0.30641450000000026,3.7290312,6.8,5.68,3.02,4.17503,0.84962
-0.1824283000000002,3.3263825,6.7,5.36,2.95,4.18014,0.59322
0.010803899999999977,3.6531876,6.8,5.33,3.02,4.18758,0.84674
0.7422602,4.1669975,6.6,5.72,3.1,4.19222,1.01868
0.5333624000000001,3.9696395,6.5,5.77,3.06,4.198,0.85034
-1.0329510000000002,2.5155249,6.6,5.75,2.98,4.20109,0.9322
0.4572757000000003,3.8330356,6.6,5.97,3.25,4.20173,0.76014
0.2510143,3.6669347,6.5,6.48,3.5,4.21169,0.84246
-1.2459333999999997,2.3242175,6.4,6.97,3.68,4.2176,0.33529
-1.1181806,2.2362169,6.1,7.18,4.14,4.22225,0.16708
-0.07108479999999995,3.1544481,6.1,7.1,4.14,4.22895,0.83682
-0.9362171000000004,2.2585214,6.1,7.3,4.33,4.23021,1.25839
1.3767662,4.6106463,6.0,7.24,4.48,4.23683,2.10615
-0.6078869,2.6988272,5.9,7.46,4.62,4.23979,1.93766
-0.6802911000000003,2.5739905,5.8,7.74,4.95,4.24789,1.51134
0.5675863999999997,3.7318507,5.6,7.96,5.29,4.2546,2.10084
-1.8699210000000002,1.2583612,5.5,7.81,5.6,4.26447,2.78246
2.5541571000000003,5.4556037,5.6,7.78,5.71,4.26638,3.1906
0.44627539999999977,3.5904762,5.4,7.47,5.77,4.26515,3.52054
1.0673599999999994,4.1914601,5.4,7.2,5.73,4.26661,3.50877
0.8258749000000001,3.9933561,5.8,7.06,5.65,4.26484,4.09357
-0.49169719999999995,2.8149874,5.6,6.63,5.67,4.26969,4.17014
-0.47610509999999984,2.8791894,5.6,6.17,5.47,4.27295,3.9834
-0.4227004999999999,2.909583,5.7,6.28,5.42,4.26877,3.8111
-0.5688979000000001,2.8180511,5.7,6.49,5.4,4.28182,3.21782
0.8244755000000001,4.0626166,5.6,6.2,5.28,4.28571,3.47107
0.5692031999999996,3.9209007,5.5,6.04,5.28,4.28405,3.63937
-0.7402264000000001,2.7238897,5.6,5.93,5.36,4.28658,3.20988
-2.1231411,1.2568196,5.6,5.71,5.14,4.28996,3.11731
0.8248159000000004,4.2046454,5.6,5.65,5.0,4.28457,2.76648
0.10729940000000004,3.3843745,5.5,5.81,4.83,4.29893,2.18623
-0.5771717999999999,2.6827644,5.5,6.27,4.96,4.29748,2.01776
-0.6999695000000004,2.4345315,5.6,6.51,4.95,4.30743,2.24719
0.32637190000000027,3.33115,5.6,6.74,5.02,4.31501,2.56205
-0.12050229999999962,2.9272699,5.3,6.91,5.09,4.32244,2.15483
0.2856643000000001,3.3374489,5.5,6.87,5.15,4.32246,2.15483
-0.3166156,2.7708059,5.1,6.64,5.05,4.32751,2.55795
0.7324912000000001,3.8159645,5.2,6.83,5.09,4.33376,2.39617
-0.5771283,2.4859619,5.2,6.53,4.99,4.33357,2.15483
0.21985209999999977,3.1635939,5.4,6.2,5.03,4.34247,2.23285
-0.8228106,2.1575798,5.4,6.3,4.91,4.34869,2.70485
-0.5857454999999998,2.4706765,5.3,6.58,5.03,4.35045,2.692
-0.8457336,2.0666816,5.2,6.42,5.01,4.36215,1.8225
0.5070355000000002,3.3095004,5.2,6.69,5.14,4.36843,0.71203
0.25494130000000004,3.1095494,5.1,6.89,5.16,4.36926,-0.31397
-0.06930610000000037,2.8416143,4.9,6.71,5.05,4.37487,-0.54645
-0.44318389999999974,2.4270192,5.0,6.49,4.93,4.37949,-0.625
-0.40626269999999964,2.4221829,4.9,6.22,5.05,4.38784,-0.85938
-1.1582470999999999,1.5939922,4.8,6.3,5.14,4.39793,-0.85737
-0.1512169000000001,2.5024539,4.9,6.21,4.95,4.40712,-0.54602
0.833345,3.3781493,4.7,6.03,4.97,4.41601,-0.15625
-0.3004349000000004,2.3184658,4.6,5.88,5.14,4.42397,-0.23401
0.48453940000000006,3.0331202,4.7,5.81,5.16,4.42824,-1.78156
0.46965429999999975,3.0911899,4.6,5.54,5.04,4.43268,-3.31534
-0.38708870000000006,2.2860893,4.6,5.57,5.09,4.43446,-2.72374
0.3858177999999999,3.0773704,4.7,5.65,5.03,4.43488,-2.04242
0.05459510000000023,2.7268994,4.3,5.64,4.95,4.43833,-1.65354
-0.14901149999999985,2.4914863,4.4,5.65,5.0,4.44485,-1.80534
-0.3175241,2.2938079,4.5,5.5,4.98,4.43889,-1.88679
-0.1405027999999997,2.4597017,4.5,5.46,4.96,4.43491,-1.57604
-0.6446083999999999,1.9587275,4.5,5.34,4.9,4.4553,-2.35849
-0.6070723999999998,2.0269097,4.6,4.81,4.61,4.45437,-2.90196
0.07083139999999988,2.6650494,4.5,4.53,3.96,4.4612,-2.9734
-0.35391070000000013,2.1811456,4.4,4.83,4.41,4.46028,-3.362
-0.5198236999999999,2.003758,4.4,4.65,4.39,4.46431,-3.15457
-0.005393999999999899,2.432429,4.3,4.72,4.34,4.46844,-1.99362
-0.8959779999999997,1.487138,4.4,5.0,4.44,4.47422,-2.16
-0.18661700000000003,2.129617,4.2,5.23,4.44,4.47634,-1.68404
0.3579150000000002,2.595422,4.3,5.18,4.29,4.47857,-1.04083
-0.613148,1.613444,4.2,5.54,4.5,4.48468,-0.31974
-0.8531360000000001,1.300182,4.3,5.9,4.57,4.48402,0.32051
0.8829310000000001,2.953195,4.3,5.79,4.55,4.48987,0.64051
-0.3475999999999999,1.763544,4.2,5.94,4.72,4.49425,2.17391
-0.35652799999999996,1.738311,4.2,5.92,4.68,4.4901,3.39257
0.3395489999999999,2.410295,4.1,6.11,4.86,4.50282,2.98387
1.3177210000000001,3.367341,4.1,6.03,5.07,4.50814,3.80259
0.09618800000000016,2.244009,4.0,6.28,5.2,4.5161,4.07166
2.3001509999999996,4.467999,4.0,6.66,5.32,4.51535,4.39382
-0.32708800000000027,2.008431,4.1,6.52,5.55,4.51879,6.13246
1.0031160000000003,3.382337,4.0,6.26,5.69,4.52269,6.68842
-0.7738660000000002,1.70942,3.8,5.99,5.66,4.529,5.74434
0.997509,3.406748,4.0,6.44,5.79,4.5319,5.53328
0.4476770000000001,3.006324,4.0,6.1,5.69,4.53262,6.86901
0.3898570000000001,3.091349,4.0,6.05,5.96,4.53085,6.36436
0.9915640000000003,3.704534,4.1,5.83,6.09,4.52819,4.72813
-0.8719739999999998,2.002844,3.9,5.8,6.0,4.53241,5.23438
-0.21344900000000022,2.683633,3.9,5.74,6.11,4.52872,6.02976
-0.15114800000000006,2.768793,3.9,5.72,6.17,4.52894,5.22214
0.5963889999999998,3.466534,3.9,5.24,5.77,4.52554,6.57277
0.3618269999999999,3.333916,4.2,5.16,5.15,4.5206,9.11925
0.34151900000000035,3.219987,4.2,5.1,4.88,4.51399,5.85516
0.18768200000000013,3.167424,4.3,4.89,4.42,4.5115,3.89908
0.2900090000000004,3.251895,4.4,5.14,3.87,4.50798,4.36113
0.10996400000000017,3.201076,4.3,5.39,3.62,4.5027,3.95137
1.4609270000000003,4.534937,4.5,5.28,3.49,4.49737,1.27055
-0.02302800000000005,3.177591,4.6,5.24,3.51,4.49128,-0.22438
1.0273230000000004,4.235134,4.9,4.97,3.36,4.4904,0.37622
0.38755099999999976,3.639264,5.0,4.73,2.64,4.48498,-1.03935
0.4367040000000002,3.82545,5.3,4.57,2.16,4.48193,-3.76662
0.6989800000000002,4.183046,5.5,4.65,1.87,4.47604,-3.85185
-0.578945,3.023054,5.7,5.09,1.69,4.47565,-5.94714
-0.32025900000000007,3.244662,5.7,5.04,1.65,4.48259,-8.21429
-0.6960509999999998,2.861412,5.7,4.91,1.72,4.48253,-6.55022
-1.0628229999999999,2.464613,5.7,5.28,1.79,4.49006,-4.48859
-0.24840699999999982,3.220073,5.9,5.21,1.71,4.4948,-4.10557
-0.42849400000000015,3.037328,5.8,5.16,1.73,4.49908,-4.38596
-1.4405430000000004,2.011589,5.8,4.93,1.7,4.50727,-3.39483
0.20021099999999992,3.441903,5.8,4.65,1.68,4.50694,-1.64918
-0.43831700000000007,2.825389,5.7,4.26,1.62,4.50591,-1.42429
-0.944852,2.201743,5.7,3.87,1.63,4.50687,-0.75019
-0.27727100000000027,2.749335,5.7,3.94,1.58,4.50423,2.22563
-0.11676799999999998,2.820426,5.9,4.05,1.23,4.5097,2.54237
-0.1872410000000002,2.637081,6.0,4.03,1.19,4.50414,3.74707
0.28381599999999985,3.07598,5.8,4.05,1.17,4.51236,5.29183
-0.9036500000000001,1.874509,5.9,3.9,1.17,4.51361,7.16511
-1.143012,1.552608,5.9,3.81,1.13,4.51087,8.78274
-1.415374,1.203761,6.0,3.96,1.13,4.50459,4.58716
-0.7566729999999999,1.6939,6.1,3.57,1.07,4.50424,4.5107
-1.2429450000000002,1.095643,6.3,3.33,0.92,4.50557,5.42399
0.7745350000000002,3.036232,6.2,3.98,0.9,4.51072,4.95427
-0.279647,1.94857,6.1,4.45,0.95,4.50859,4.94297
0.2750750000000002,2.430362,6.1,4.27,0.94,4.51505,4.68632
0.29023200000000005,2.464543,6.0,4.29,0.92,4.51639,4.57958
-0.826692,1.323989,5.8,4.3,0.93,4.52316,4.35763
-0.0891249999999999,1.936831,5.7,4.27,0.9,4.52367,4.96614
0.8906340000000001,2.858401,5.7,4.15,0.88,4.52533,4.5085
0.9770030000000001,2.926816,5.6,4.08,0.93,4.53152,3.27035
0.5884389999999997,2.625596,5.8,3.83,0.94,4.52761,1.34561
0.5292849999999998,2.655852,5.6,4.35,0.94,4.53148,5.84795
-0.7837369999999999,1.464146,5.6,4.72,1.02,4.53886,7.38844
0.5672600000000001,2.795872,5.6,4.73,1.27,4.53115,6.66667
-0.724475,1.646318,5.5,4.5,1.33,4.5385,7.0443
-0.3701349999999999,1.884862,5.4,4.28,1.48,4.53935,7.24638
-0.03249700000000022,2.217174,5.4,4.13,1.65,4.54047,6.6426
0.20151999999999992,2.43344,5.5,4.1,1.76,4.54934,7.68126
-0.13595500000000005,2.093378,5.4,4.19,2.07,4.55179,8.99928
-0.23265000000000002,2.061147,5.4,4.23,2.19,4.55956,7.67025
0.6103070000000002,2.914495,5.3,4.22,2.33,4.56308,6.71853
0.26012000000000013,2.568956,5.4,4.17,2.54,4.57028,6.68543
-0.140034,2.139112,5.2,4.5,2.74,4.56886,7.40741
0.335086,2.57374,5.2,4.34,2.78,4.57094,7.0442
0.6523490000000001,2.884186,5.1,4.14,2.84,4.57187,5.10899
-1.4580429000000001,0.8922681,5.0,4.0,2.97,4.57624,4.82337
0.6742140000000001,2.865222,5.0,4.18,3.22,4.57306,6.03799
-0.8343870000000002,1.458184,4.9,4.26,3.44,4.57634,6.48649
0.799706,3.05651,5.0,4.2,3.42,4.55678,9.8172
0.007318999999999853,2.333833,5.0,4.46,3.71,4.56893,10.8
1.060009,3.378227,5.0,4.54,3.88,4.57987,8.12417
0.09312399999999998,2.518035,4.9,4.47,3.89,4.58468,8.52197
0.23199799999999993,2.69504,4.7,4.42,4.24,4.58626,8.88005
0.7037900000000001,3.148606,4.8,4.57,4.43,4.58669,6.72823
0.636066,3.129004,4.7,4.72,4.51,4.58895,5.53025
1.2041149999999998,3.779464,4.7,4.99,4.6,4.59191,6.0
1.455676,4.130966,4.6,5.11,4.72,4.59216,7.45301
1.109156,3.887562,4.6,5.11,4.79,4.59552,7.64744
0.5559180000000001,3.585202,4.7,5.09,4.95,4.59487,6.71785
-0.07643099999999992,3.012756,4.7,4.88,4.96,4.5992,6.53553
-0.31720799999999993,2.902693,4.5,4.72,4.81,4.59739,1.97287
0.069693,3.276747,4.4,4.73,4.92,4.59636,-2.40674
-1.632559,1.653409,4.5,4.6,4.94,4.59609,0.54979
-0.9251940000000003,2.216058,4.4,4.56,4.85,4.60629,1.59509
-0.17159799999999992,2.944302,4.6,4.76,4.98,4.60271,-0.18259
0.20038199999999984,3.337116,4.5,4.72,5.03,4.61231,3.09023
-0.651996,2.500432,4.4,4.56,4.94,4.61408,4.37731
-1.0277569999999998,2.072131,4.5,4.69,4.87,4.62077,4.32136
-1.029103,1.928362,4.4,4.75,4.73,4.62131,4.52352
-0.7212589999999999,2.05294,4.6,5.1,4.61,4.62158,4.63576
-0.19806299999999988,2.423651,4.7,5.0,4.82,4.62001,4.97602
-0.3074180000000002,2.217904,4.6,4.67,4.2,4.62197,2.68017
0.6345840000000003,3.093748,4.7,4.52,3.89,4.62441,4.89722
1.039381,3.514384,4.7,4.53,3.9,4.62148,7.70654
1.0169819999999996,3.511614,4.7,4.15,3.27,4.6271,8.74848
0.3210419999999998,2.970512,5.0,4.1,3.0,4.62768,7.85024
0.6572580000000001,3.369654,5.0,3.74,2.75,4.62644,10.36585
-0.9681410000000001,1.779554,4.9,3.74,2.12,4.62277,9.53237
0.7395099999999997,3.357248,5.1,3.51,1.26,4.61957,10.98641
-0.17992700000000017,2.509022,5.0,3.68,1.29,4.6127,11.3769
0.009940999999999978,2.735446,5.4,3.88,1.73,4.60651,13.44489
0.951095,3.744138,5.6,4.1,1.86,4.6039,15.36249
0.4077890000000002,3.34172,5.8,4.01,1.63,4.59935,17.36151
0.047193999999999736,3.057698,6.1,3.89,1.72,4.58343,15.42923
-0.09661000000000008,2.984155,6.1,3.69,1.13,4.53858,13.48703
-1.3436550000000003,1.727974,6.5,3.81,0.67,4.54858,6.6972
-1.1483950000000003,1.773818,6.8,3.53,0.19,4.53541,-1.22905
-1.7444680000000001,1.032633,7.3,2.42,0.03,4.50675,-4.31131
-0.190191,2.424316,7.8,2.52,0.13,4.48155,-5.41436
-0.6778350000000002,1.85814,8.3,2.87,0.3,4.47555,-7.33443
-0.4466420000000002,2.095928,8.7,2.82,0.21,4.45978,-10.53752
-0.8588840000000002,1.578817,9.0,2.93,0.16,4.45191,-11.41959
-0.6566519999999998,1.703262,9.4,3.29,0.18,4.44199,-13.12309
